date,strategy,policy_code,evaluation_jobs,no_action,C_dynamic_baseline_carbon_kg,C_dynamic_policy_carbon_kg,C_dynamic_saving_kg,C_dynamic_saving_g_per_eval_job,C_dynamic_reduction_pct,C_dynamic_baseline_replay_range_pct,C_dynamic_inside_observed_baseline_range,C_dynamic_policy_repeats,C_dynamic_policy_repeat_range_pct,C_whole_baseline_carbon_kg,C_whole_policy_carbon_kg,C_whole_saving_kg,C_whole_saving_g_per_eval_job,C_whole_reduction_pct,C_whole_baseline_replay_range_pct,C_whole_inside_observed_baseline_range,C_whole_policy_repeats,C_whole_policy_repeat_range_pct,R_dynamic_baseline_carbon_kg,R_dynamic_policy_carbon_kg,R_dynamic_saving_kg,R_dynamic_saving_g_per_eval_job,R_dynamic_reduction_pct,R_dynamic_baseline_replay_range_pct,R_dynamic_inside_observed_baseline_range,R_dynamic_policy_repeats,R_dynamic_policy_repeat_range_pct,R_whole_baseline_carbon_kg,R_whole_policy_carbon_kg,R_whole_saving_kg,R_whole_saving_g_per_eval_job,R_whole_reduction_pct,R_whole_baseline_replay_range_pct,R_whole_inside_observed_baseline_range,R_whole_policy_repeats,R_whole_policy_repeat_range_pct,A_dynamic_baseline_carbon_kg,A_dynamic_policy_carbon_kg,A_dynamic_saving_kg,A_dynamic_saving_g_per_eval_job,A_dynamic_reduction_pct,A_dynamic_baseline_replay_range_pct,A_dynamic_inside_observed_baseline_range,A_dynamic_policy_repeats,A_dynamic_policy_repeat_range_pct,A_whole_baseline_carbon_kg,A_whole_policy_carbon_kg,A_whole_saving_kg,A_whole_saving_g_per_eval_job,A_whole_reduction_pct,A_whole_baseline_replay_range_pct,A_whole_inside_observed_baseline_range,A_whole_policy_repeats,A_whole_policy_repeat_range_pct
2025-11-15,time_hybrid_08_18,HY,1629,False,70.29311078350656,70.23177623715961,0.061334546346955676,0.037651655216056276,0.08725541616141862,0.008444073604276958,False,1,0.0,2250.3731107835065,2250.3117762371594,0.061334546347097785,0.03765165521614351,0.002725527871497856,0.0002637607952399649,False,1,0.0,351.6586145969761,351.79138004992217,-0.13276545294604603,-0.08150119886190671,-0.037754073819065675,0.0026876577721524774,False,1,0.0,2531.738614596976,2531.871380049922,-0.13276545294638709,-0.08150119886211607,-0.005244042658310595,0.00037331579304186735,False,1,0.0,108.83656947314552,110.21130559583264,-1.3747361226871249,-0.8439141330184928,-1.2631196750705462,1.058950859578579,False,1,0.0,2288.9165694731455,2290.2913055958325,-1.3747361226869543,-0.8439141330183881,-0.06006056057357242,0.05035245947113596,False,1,0.0
2025-11-15,history_only,HI,1629,True,70.29311078350656,70.28590386449989,0.007206919006677026,0.004424136897898727,0.010252667617561242,0.008444073604276958,False,1,0.0,2250.3731107835065,2250.3659038645,0.007206919006421231,0.004424136897741701,0.00032025440456458427,0.0002637607952399649,False,1,0.0,351.6586145969761,351.70122225112766,-0.042607654151538554,-0.026155711572460747,-0.012116198034952086,0.0026876577721524774,False,1,0.0,2531.738614596976,2531.7812222511275,-0.04260765415165224,-0.026155711572530535,-0.001682940486272707,0.00037331579304186735,False,1,0.0,108.83656947314552,110.00507246774308,-1.16850299459756,-0.7173130721900307,-1.073630857949706,1.058950859578579,False,1,0.0,2288.9165694731455,2290.085072467743,-1.1685029945974748,-0.7173130721899784,-0.05105048432876855,0.05035245947113596,False,1,0.0
2025-11-15,dynamic_forecast_balanced_oracle,OR,1629,True,70.29311078350656,70.29233922297975,0.0007715605268145964,0.0004736405935019008,0.0010976332078841983,0.008444073604276958,True,1,0.0,2250.3731107835065,2250.3723392229795,0.0007715605270277592,0.0004736405936327558,3.428589345164754e-05,0.0002637607952399649,True,1,0.0,351.6586145969761,351.65208786804544,0.006526728930680292,0.004006586206679124,0.0018559843722754674,0.0026876577721524774,False,1,0.0,2531.738614596976,2531.7320878680453,0.006526728930566605,0.004006586206609334,0.00025779631802967884,0.00037331579304186735,False,1,0.0,108.83656947314552,110.18754769921244,-1.3509782260669283,-0.829329788868587,-1.241290710104815,1.058950859578579,False,1,0.0,2288.9165694731455,2290.2675476992126,-1.3509782260671273,-0.8293297888687092,-0.059022606768847435,0.05035245947113596,False,1,0.0
2025-11-15,low_impact_dynamic_q25,LI,1629,True,70.29311078350656,70.29352344353609,-0.0004126600295251137,-0.00025332107398717845,-0.0005870561494938697,0.008444073604276958,True,1,0.0,2250.3731107835065,2250.373523443536,-0.0004126600297240657,-0.0002533210741093098,-1.8337404928393893e-05,0.0002637607952399649,True,1,0.0,351.6586145969761,351.6563249283225,0.002289668653645549,0.001405567006535021,0.0006511055206964458,0.0026876577721524774,True,1,0.0,2531.738614596976,2531.7363249283226,0.002289668653247645,0.0014055670062907582,9.043858793503984e-05,0.00037331579304186735,True,1,0.0,108.83656947314552,109.34041761020566,-0.503848137060146,-0.3092990405525758,-0.46294011240814253,1.058950859578579,True,1,0.0,2288.9165694731455,2289.4204176102057,-0.5038481370602312,-0.30929904055262814,-0.02201251647962884,0.05035245947113596,True,1,0.0
2025-11-18,b1_runtime_4h,B1,5646,False,108.41631589950028,107.81635827376584,0.599957625734433,0.10626242042763602,0.5533831515641812,0.027612161428754514,False,1,0.0,3029.0963158995005,3028.496358273766,0.5999576257345325,0.10626242042765364,0.01980648890513648,0.0009882844597490696,False,1,0.0,651.0760192365076,651.6143971994827,-0.5383779629751189,-0.09535564345999271,-0.08269049190391846,0.036436471363975015,False,1,0.0,3571.756019236508,3572.294397199483,-0.5383779629746641,-0.09535564345991217,-0.01507320097103796,0.006641806607986853,False,1,0.0,265.9747460454506,264.03214414854006,1.9426018969105598,0.3440669317942897,0.7303708061736816,1.2195930896327871,False,1,0.0,3186.654746045451,3184.71214414854,1.9426018969106735,0.34406693179430986,0.06096053861251797,0.10179356979175308,False,1,0.0
2025-11-18,b2_q75_cap50,B2,5646,False,108.41631589950028,108.444081702354,-0.027765802853721766,-0.004917783006326916,-0.025610354514776265,0.027612161428754514,False,1,0.0,3029.0963158995005,3029.1240817023536,-0.027765802853082278,-0.004917783006213651,-0.0009166365132512179,0.0009882844597490696,False,1,0.0,651.0760192365076,651.1473665299156,-0.07134729340805279,-0.012636785938372794,-0.010958366043295387,0.036436471363975015,False,1,0.0,3571.756019236508,3571.8273665299157,-0.07134729340759804,-0.01263678593829225,-0.0019975410700882393,0.006641806607986853,False,1,0.0,265.9747460454506,267.8119357276824,-1.8371896822317808,-0.3253966847736062,-0.6907383913500705,1.2195930896327871,True,1,0.0,3186.654746045451,3188.491935727682,-1.837189682231383,-0.3253966847735358,-0.057652611551699595,0.10179356979175308,True,1,0.0
2025-11-18,adaptive_balanced,AD,5646,False,108.41631589950028,108.23248345001781,0.18383244948246613,0.032559767885665274,0.16956160883835517,0.027612161428754514,False,2,0.04007477427483952,3029.0963158995005,3028.912483450018,0.18383244948245192,0.032559767885662755,0.006068887559551313,0.0009882844597490696,False,2,0.001434341775306769,651.0760192365076,651.0687492708719,0.00726996563571447,0.001287631178837136,0.0011166078032239133,0.036436471363975015,True,2,0.012997490322318676,3571.756019236508,3571.748749270872,0.007269965636169218,0.0012876311789176793,0.00020354037613474034,0.006641806607986853,True,2,0.0023692419676983644,265.9747460454506,269.42592203050594,-3.451175985055329,-0.6112603586707986,-1.2975577705657744,1.2195930896327871,False,2,1.820463915698179,3186.654746045451,3190.105922030506,-3.4511759850552153,-0.6112603586707784,-0.10830090675301515,0.10179356979175308,False,2,0.15194536787005408
2025-11-18,time_hybrid_08_18,HY,5646,False,108.41631589950028,108.22572112447766,0.19059477502261757,0.03375748760584796,0.1757989777104168,0.027612161428754514,False,1,0.0,3029.0963158995005,3028.905721124478,0.19059477502241862,0.03375748760581272,0.0062921332023019826,0.0009882844597490696,False,1,0.0,651.0760192365076,650.9524296303624,0.123589606145174,0.021889763752244776,0.01898236188918506,0.036436471363975015,True,1,0.0,3571.756019236508,3571.632429630363,0.12358960614528769,0.02188976375226491,0.0034601917230535242,0.006641806607986853,True,1,0.0,265.9747460454506,269.677242120507,-3.702496075056388,-0.655773304119091,-1.3920479782782436,1.2195930896327871,False,1,0.0,3186.654746045451,3190.357242120507,-3.702496075056388,-0.655773304119091,-0.11618754995818363,0.10179356979175308,False,1,0.0
2025-11-18,history_only,HI,5646,False,108.41631589950028,108.15413929611552,0.26217660338475923,0.046435813564427775,0.2418239369319574,0.027612161428754514,False,1,0.0,3029.0963158995005,3028.8341392961156,0.26217660338488713,0.04643581356445043,0.008655274578386355,0.0009882844597490696,False,1,0.0,651.0760192365076,651.0512164007981,0.0248028357094654,0.004392992509646723,0.0038095145538535966,0.036436471363975015,True,1,0.0,3571.756019236508,3571.7312164007985,0.024802835709579085,0.004392992509666859,0.0006944157320936186,0.006641806607986853,True,1,0.0,265.9747460454506,268.51695369404564,-2.5422076485950242,-0.4502670295067347,-0.9558079052214241,1.2195930896327871,False,1,0.0,3186.654746045451,3189.196953694046,-2.5422076485951948,-0.45026702950676495,-0.07977668907339282,0.10179356979175308,False,1,0.0
2025-11-18,dynamic_forecast_balanced_oracle,OR,5646,True,108.41631589950028,108.43688189925253,-0.020565999752250264,-0.003642578772980918,-0.018969469292163116,0.027612161428754514,True,1,0.0,3029.0963158995005,3029.116881899253,-0.020565999752307107,-0.003642578772990986,-0.0006789483597585759,0.0009882844597490696,True,1,0.0,651.0760192365076,651.1134160555071,-0.03739681899946845,-0.006623595288605818,-0.005743848321018227,0.036436471363975015,False,1,0.0,3571.756019236508,3571.7934160555074,-0.03739681899924108,-0.006623595288565547,-0.0010470149360099616,0.006641806607986853,False,1,0.0,265.9747460454506,267.74692120790155,-1.7721751624509352,-0.31388153780569167,-0.6662945218671626,1.2195930896327871,True,1,0.0,3186.654746045451,3188.4269212079016,-1.7721751624508215,-0.3138815378056715,-0.05561239932408872,0.10179356979175308,True,1,0.0
